task	desc	conds	weights
LOC	faces_gt_rest	faces fixation	1 -1
LOC	scenes_gt_rest	scenes fixation	1 -1
LOC	objects_gt_rest	objects fixation	1 -1
LOC	scramobj_gt_rest	scramobj fixation	1 -1
LOC	fixation_gt_rest	fixation	1
LOC	faces_gt_objects	faces objects	1 -1
LOC	scenes_gt_objects	scenes objects	1 -1
LOC	objects_gt_scramobj	objects scramobj	1 -1
LOC	scramobj_gt_objects	objects scramobj	-1 1
LOC	all_gt_fix	faces scenes objects scramobj fixation	.25 .25 .25 .25 -1
LOC	faces_gt_scenes	faces scenes	1 -1
LOC	scenes_gt_faces	faces scenes	-1 1
EXP	room1_gt_rest	room1 nullosevent	1 -1
EXP	room2_gt_rest	room2 nullosevent	1 -1
EXP	room3_gt_rest	room3 nullosevent	1 -1
EXP	room4_gt_rest	room4 nullosevent	1 -1
EXP	room5_gt_rest	room5 nullosevent	1 -1
EXP	room6_gt_rest	room6 nullosevent	1 -1
EXP	room7_gt_rest	room7 nullosevent	1 -1
EXP	room8_gt_rest	room8 nullosevent	1 -1
EXP	fix_gt_rest	fixationfix nullosevent	1 -1
EXP	oneback_gt_rest	onebacktril nullosevent	1 -1
